#Fajok
Id,Név,Tulajdonság
R001,Ember,Adaptable
R002,Törp,Resilient
R003,Elf,KeenSenses
R004,Félork,Relentless

#Osztályok
Id,Név,XP módosító
C001,Harcos,1
C002,Barbár,0.95
C003,Lovag,1.05
C004,Tolvaj,0.85
C005,Pap,1
C006,Mágus,1.1

#Faji képességbónuszok
FajId,Erő,Ügyesség,Egészség,Intelligencia
R001,0,0,0,0
R002,1,-1,2,-2
R003,-2,2,-2,2
R004,2,-1,1,-2

#Osztály képességminimumok
OsztályId,Erő,Ügyesség,Egészség,Intelligencia
C001,7,2,8,2
C002,9,3,6,1
C003,7,2,6,4
C004,3,7,4,4
C005,5,3,5,6
C006,1,3,2,8

#Osztály kezdőfelszerelés
OsztályId,Fegyver1Id,Fegyver2Id,PáncélId,VarázstárgyId,HátizsákId,HátizsákId
C001,W004,,A002,,T001,T002,T001,T002,T011,T011
C002,W010,,A002,,T001,T002,T001,T002,T011,T011
C003,W004,W014,A004,,T001,T002,T001,T002,T011,T011
C005,W005,,A001,,T001,T002,T001,T002,T011,T011
C004,W001,,A002,,T001,T002,T001,T002,T011,T011
C006,W001,,A001,,T001,T002,T001,T002,T011,T011

#Egészség által adott életerő minimum
Egészség,Életerő
1,15
2,20
3,25
4,30
5,35
6,40
7,50
8,60
9,70
10,85
11,100
12,110
13,120

#Intelligencia által adott manna minimum
Intelligencia,Manna
1,15
2,20
3,25
4,30
5,35
6,40
7,50
8,60
9,70
10,85
11,100
12,110
13,120

#Szintlépések
Szint,XP értél
1,	0
2,	1000
3,	2500
4,	5000
5,	9000
6,	15000
7,	23000
8,	34000
9,	48000
10,	66000
11,	88000
12,	115000
13,	147000
14,	185000
15,	230000
16,	283000
17,	345000
18,	417000
19,	500000
20,	595000
21,	703000
22,	825000
23,	962000
24,	1115000
25,	1285000
26,	1473000
27,	1680000
28,	1907000
29,	2155000
30,	2425000

#Szintlépés életerő növekedés
Egészség,Növekedés
1,1-3
2,1-4
3,2-4
4,2-5
5,3-5
6,3-6
7,4-6
8,4-7
9,5-7
10,5-8
11,6-8
12,6-9
13,7-10

#Szintlépés manna növekedés
Intelligencia,Növekedés
1,1-2
2,1-3
3,2-3
4,2-4
5,3-4
6,3-5
7,4-5
8,4-6
9,5-6
10,5-7
11,6-7
12,6-8
13,7-10

#Osztály erőforrás-növekedés
OsztályId,ÉleterőMódosító,MannaMódosító,MannaSzázalék
C001,3,0,0
C002,5,0,0
C003,3,0,50
C004,0,0,0
C005,0,0,100
C006,-1,1,100

#Erő találati bónusz
OsztályId,MinimumErő,Bónusz
C001,7,1
C001,10,2
C001,13,3
C002,7,1
C002,10,2
C002,13,3
C003,7,1
C003,10,2
C003,13,3

#Ajtópróba paraméterek
Id,Érték
ÉlelemMinimum,1
ÉlelemMaximum,2
VízMinimum,1
VízMaximum,2

#Base XP pálya végén
300

#Képességek
Id,Név
K001,Erő
K002,Ügyesség
K003,Egészség
K004,Intelligencia
K005,Életerő
K006,Manna

#Tehetségek
Id,Név,Leírás,OsztályId,Fokozat
PERK-C001-1A,Első csapás,+10 jár a kezdeményezéshez.,C001,1
PERK-C001-1B,Robusztusság,+10 maximális HP.,C001,1
PERK-C001-2A,Fegyvermester,+2 jár minden fegyveres találati próbához.,C001,2
PERK-C001-2B,Rendíthetetlen,Minden elszenvedett találat sebzése 2 ponttal csökken.,C001,2
PERK-C001-3A,Acélvihar,Sikeres támadás után 35% eséllyel azonnal újra támad.,C001,3
PERK-C001-3B,Utolsó erőd,Harcban egyszer 1 HP-n túléli a halálos csapást.,C001,3
PERK-C002-1A,Vérszomj,Fél HP alatt +3 sebzést okoz.,C002,1
PERK-C002-1B,Vastag bőr,+8 maximális HP és +1 természetes védelem.,C002,1
PERK-C002-2A,Őrjöngés,Minden egymást követő találat +1 halmozódó sebzést ad.,C002,2
PERK-C002-2B,Fájdalomtűrés,A 3 pontnál kisebb beérkező sebzést figyelmen kívül hagyja.,C002,2
